student_name,current_grade,read_eqao_03,write_eqao_03,math_eqao_03,read_eqao_06,write_eqao_06,math_eqao_06,Mathematics_07,Reading_07,Writing_07,Mathematics_08,Reading_08,Writing_08,math_eqao_09,Language_09,Mathematics_09,Language_10,Mathematics_10,Language_11,Mathematics_11,EQAO_Math_Program
Lee Benitez,12,1,2,2,3,0,2,31,36,38,9,33,34,3,76,57,31,70,72,34,Academic
Ethel White,8,1,1,1,4,3,4,15,94,91,89,83,37,4,55,96,48,64,17,49,
Richard Staley,10,5,1,3,3,1,5,88,66,15,2,3,90,3,85,39,35,72,57,49,Academic
Timothy Doyle,12,5,0,1,0,1,3,81,59,10,78,68,53,0,11,89,49,69,58,7,Academic
Thomas Orton,10,1,0,1,2,2,3,61,72,87,15,16,73,2,31,93,81,78,53,12,Academic
Glen Crosby,11,0,0,1,1,5,0,50,5,20,49,96,20,1,95,40,9,42,55,20,Academic
Kim Miller,9,4,4,3,3,1,3,75,32,10,4,36,66,3,52,1,49,49,14,83,Academic
Karen Bentley,9,5,2,2,3,1,5,45,40,88,56,81,55,3,24,28,30,59,75,32,Academic
Paula Watkins,10,0,3,2,2,3,4,66,91,61,79,67,66,2,20,99,84,73,9,36,Academic
Antonio Cole,8,4,5,5,0,2,2,14,52,34,70,11,47,0,19,75,42,1,45,85,
Tina Livingston,12,1,5,5,4,3,2,58,84,78,6,57,14,4,10,42,63,81,80,70,Academic
Helen Schuld,9,3,3,5,4,5,2,40,85,60,98,3,5,4,72,51,71,80,39,84,Academic
Dianna Bovee,11,5,4,4,2,5,5,92,70,58,12,59,31,2,98,67,99,56,64,29,Academic
Estelle Opteyndt,8,2,5,4,1,4,4,22,59,58,89,51,73,1,1,97,51,51,19,84,
Daniel Sutton,10,4,2,4,0,0,5,11,97,47,19,71,64,0,65,10,5,52,22,9,Academic
Carlos Grissom,11,4,2,3,5,1,5,22,25,82,62,60,88,5,21,95,44,10,43,40,Academic
Stephen Salinas,8,2,2,4,0,2,1,66,78,54,48,73,50,0,24,47,3,73,31,4,
Crystal Diaz,8,2,0,0,3,4,0,23,82,76,30,49,53,3,1,27,24,21,36,89,
Marie Kelley,8,1,3,0,4,2,3,49,85,54,57,80,51,4,6,23,54,45,40,13,
Justin Parrish,8,3,4,0,2,2,3,38,38,12,94,34,37,2,62,64,63,60,44,99,
Francisco Butler,10,3,1,0,2,2,5,53,91,3,55,46,6,2,68,69,75,73,21,5,Academic
Robert Payne,11,5,4,1,5,3,2,42,73,21,60,12,78,5,76,72,15,43,67,8,Academic
Lillian Mosher,8,0,5,5,5,1,2,66,59,44,3,25,29,5,77,62,76,72,49,74,
Vicki Rau,8,4,2,4,5,0,2,93,22,16,9,57,70,5,27,49,60,90,87,4,
Christopher Mcreynolds,8,1,5,1,0,1,0,73,61,1,2,37,52,0,5,64,89,28,97,33,
Latanya Craun,8,2,5,2,5,1,1,9,3,93,28,28,36,5,93,94,84,40,44,60,
Lisa Ramirez,11,5,0,3,1,5,5,49,13,28,59,32,28,1,92,2,36,10,8,70,Academic
Richard Beaumont,9,5,4,1,1,2,3,88,63,83,55,69,80,1,55,73,97,82,87,78,Academic
Jarvis Hykes,9,4,5,4,5,1,2,71,73,75,46,85,75,5,31,44,58,21,34,15,Academic
Phyllis Agan,11,1,0,5,4,3,3,75,14,22,61,75,12,4,49,78,48,64,13,27,Academic
Ruby Rogers,11,4,1,4,4,5,4,28,92,20,24,31,77,4,62,30,95,81,35,75,Academic
Barbara Salstrom,11,3,0,5,5,5,5,13,94,43,36,16,49,5,74,89,46,68,29,52,Academic
Joseph Osborne,12,2,4,5,0,3,2,89,32,58,89,44,33,0,18,91,67,39,35,23,Academic
Michael Vance,8,2,0,4,5,5,0,9,35,8,97,26,66,5,35,46,0,45,29,45,
Scott Smith,9,3,3,4,5,0,1,80,70,23,38,63,1,5,34,66,42,73,47,51,Academic
Dong Leung,10,0,5,3,0,5,0,79,76,7,20,26,21,0,97,71,26,82,58,67,Academic
Michael Miles,12,1,5,1,0,0,3,14,15,60,44,50,59,0,92,37,87,36,85,8,Academic
Michele Kakani,11,5,4,5,5,2,2,80,60,27,76,94,42,5,85,94,9,25,14,47,Academic
Angela Gainey,10,2,4,5,2,2,4,48,34,82,6,50,21,2,31,73,11,47,71,57,Academic
Denise Peiper,8,2,2,4,4,3,4,65,19,92,53,71,24,4,17,11,51,30,56,16,
Guadalupe Anderson,9,2,1,3,5,0,2,11,77,5,61,7,43,5,90,83,9,59,99,57,Academic
Jennifer Schiller,11,1,5,1,1,5,4,85,24,18,39,64,89,1,75,70,48,54,65,79,Academic
Gerald Stoneberg,9,1,2,3,3,4,2,74,73,8,64,37,77,3,10,36,80,92,88,9,Academic
Adrienne Fisher,11,5,1,4,5,5,4,68,37,25,39,52,62,5,57,33,23,85,48,4,Academic
Andrew Stark,9,5,3,0,5,2,0,96,19,72,71,84,33,5,91,47,59,52,27,21,Academic
Mary Bourgeois,8,2,1,2,3,4,3,80,86,11,54,34,44,3,77,82,87,9,63,33,
Morgan Hart,9,0,1,1,3,1,1,27,71,70,65,60,44,3,48,32,98,8,80,75,Academic
Carlton Largent,12,5,3,1,3,2,5,5,40,10,13,19,4,3,64,96,83,1,78,48,Academic
Bill Berryman,12,5,2,2,2,5,1,89,21,77,91,4,20,2,89,80,88,47,70,68,Academic
Jessica Gattison,9,1,5,1,5,3,3,57,76,33,38,19,59,5,21,48,91,14,44,6,Academic
Edward Besaw,8,1,1,5,4,1,0,33,76,61,43,74,81,4,11,95,92,72,14,89,
Troy Malach,9,2,4,2,3,5,3,28,73,6,84,84,25,3,18,91,82,65,71,68,Academic
Charles Hale,8,2,0,3,0,5,1,94,13,61,30,79,35,0,42,50,0,9,19,71,
Jeff Jonson,12,4,2,4,0,1,3,17,93,9,82,86,60,0,47,8,57,37,76,79,Academic
Peter Mcdavid,11,1,5,1,2,4,4,16,87,29,33,0,91,2,81,71,70,61,57,62,Academic
Nicholas Huntzinger,11,2,2,2,3,0,1,55,37,41,52,38,42,3,16,3,40,50,49,65,Academic
Joseph Welch,11,2,2,5,1,4,3,93,62,43,35,31,2,1,50,8,14,51,95,35,Academic
Lois Mcclure,11,1,0,2,2,5,3,29,6,22,49,2,50,2,98,71,53,1,66,49,Academic
Maryellen Blanco,12,5,4,4,2,5,3,81,48,57,78,16,1,2,48,53,49,70,11,21,Academic
Alvin Rego,9,4,2,4,0,4,5,93,96,1,59,83,25,0,65,90,90,81,34,40,Academic
Daniel Marley,9,4,0,2,5,1,1,1,70,8,46,23,6,5,71,20,52,26,67,48,Academic
Doris Wilkinson,11,1,4,5,1,2,0,56,48,88,56,97,51,1,49,64,76,6,37,56,Academic
Dennis Johnson,12,4,0,4,3,4,1,87,76,3,49,54,27,3,65,21,11,53,38,21,Academic
William Thompson,8,4,3,1,0,0,4,76,91,38,81,43,43,0,36,46,1,77,15,9,
Keith Stickel,8,0,0,5,4,2,4,45,25,30,42,83,89,4,43,41,74,7,36,3,
Richard Riggs,8,2,3,3,2,5,5,19,48,66,49,32,63,2,86,68,68,14,32,57,
Wesley Wray,10,1,4,0,0,5,1,97,79,81,47,97,4,0,8,64,0,30,16,22,Academic
Susan Raby,9,0,0,4,5,0,1,78,69,40,60,27,7,5,43,88,36,16,88,22,Academic
Jane Miller,11,5,4,4,5,4,0,32,8,59,74,72,24,5,16,41,83,95,32,12,Academic
Rodney Jones,11,2,4,0,0,3,5,37,28,20,81,17,75,0,8,6,16,90,70,78,Academic
Edmund Gonzales,9,2,0,5,2,4,4,15,27,70,30,84,31,2,51,20,71,87,77,75,Academic
Erik Rossman,12,0,4,5,5,4,3,65,88,89,45,41,1,5,72,1,9,57,59,85,Academic
June Hart,11,2,4,2,2,2,1,11,70,94,40,52,24,2,1,55,35,41,37,60,Academic
Ana Mora,8,3,5,1,1,5,3,42,58,23,72,20,74,1,36,49,3,19,72,95,
Catherine Baker,9,0,0,4,4,5,5,7,25,93,83,57,45,4,65,21,94,44,12,50,Academic
Cindy Messer,8,5,0,5,1,4,3,71,58,6,60,39,46,1,72,97,85,21,51,90,
Helen Bronson,10,0,5,5,0,0,3,86,47,45,78,75,86,0,57,4,50,94,50,33,Academic
Frank Coleman,12,3,1,3,2,0,3,4,89,28,29,1,44,2,60,33,84,48,31,64,Academic
Kyle Brown,10,5,1,0,0,3,0,54,20,76,43,63,95,0,25,16,2,65,74,26,Academic
Debra Magana,8,0,1,4,2,4,5,56,90,13,35,4,52,2,51,16,75,61,62,35,
Betty Gambrill,11,3,1,0,1,4,5,14,30,88,70,65,57,1,51,43,43,68,27,64,Academic
Clinton Carr,11,4,1,5,4,1,0,72,54,36,74,19,37,4,94,16,21,56,58,82,Academic
Carlos Altizer,10,2,0,2,2,4,3,22,49,97,74,33,37,2,68,66,41,28,73,68,Academic
Elanor Leskovec,11,2,1,3,4,1,3,34,53,1,47,60,26,4,88,63,31,80,40,81,Academic
Edward Lawton,12,2,0,0,5,2,1,53,96,54,81,97,46,5,92,8,98,33,69,50,Academic
Charles Gooding,9,3,5,3,5,3,2,15,25,85,51,26,27,5,88,3,79,45,47,56,Academic
Darcie Neff,9,3,4,2,1,4,1,0,9,51,45,15,9,1,88,54,42,15,93,78,Academic
Elena Harbison,10,1,4,3,3,5,5,38,54,63,65,98,91,3,59,55,0,52,81,3,Academic
Kenneth Hart,8,3,2,2,2,4,5,49,63,45,44,6,20,2,32,97,97,84,52,63,
Luisa Rodriguez,12,5,5,5,5,2,2,39,34,67,44,11,41,5,53,71,85,61,87,25,Academic
Helen Rea,12,2,2,3,1,0,2,25,48,64,46,43,65,1,81,65,36,14,63,40,Academic
Janet Radin,9,5,4,1,5,2,2,43,90,91,70,14,43,5,86,84,1,50,40,88,Academic
Virginia Jarrard,12,3,3,0,2,4,0,95,31,94,75,8,89,2,86,43,79,89,54,53,Academic
Bertha Kennedy,12,5,3,4,5,3,2,40,1,96,40,91,35,5,97,99,69,55,83,53,Academic
Geoffrey Montgomery,11,4,1,1,2,2,3,68,83,45,42,29,72,2,58,1,4,65,9,94,Academic
Constance Dearmitt,10,4,3,0,2,0,0,41,56,29,34,35,62,2,99,85,0,20,14,49,Academic
Lydia Baker,8,4,2,1,5,2,0,18,21,69,53,72,19,5,37,40,79,12,72,22,
Gina Neal,10,1,4,4,1,0,1,23,12,76,89,72,19,1,56,53,12,90,91,28,Academic
Stephanie Hensley,11,4,5,4,2,0,4,15,43,56,95,14,17,2,71,70,84,76,67,35,Academic
Patrick Jurgenson,12,4,5,1,2,5,5,47,20,94,46,26,91,2,75,40,29,32,32,14,Academic
Dawn Parsons,9,1,1,5,2,3,3,75,12,74,90,59,87,2,46,9,23,14,43,36,Academic
Jennifer Mcallister,8,1,3,4,4,1,0,77,32,18,91,25,20,4,56,21,23,48,9,39,
Virginia Adger,10,3,0,4,3,5,2,55,81,94,89,54,68,3,16,68,24,6,69,61,Academic
Mary Garcia,12,3,1,4,1,3,3,69,90,10,98,7,49,1,94,88,4,69,37,13,Academic
Kenneth Lewis,12,0,1,5,5,2,1,37,14,80,56,85,44,5,80,18,7,34,82,15,Academic
Frank France,11,0,5,4,0,0,4,89,32,36,16,15,65,0,44,39,97,84,82,30,Academic
John Swanson,12,2,1,3,0,3,3,79,19,84,99,45,86,0,81,54,62,88,86,2,Academic
Henry Wallace,9,3,4,5,2,0,3,79,55,95,60,84,98,2,71,80,23,88,54,43,Academic
Buster Grantham,10,1,0,4,5,2,0,98,94,53,40,28,65,5,59,57,92,42,41,79,Academic
David Snyder,11,2,3,5,4,1,1,2,26,47,62,24,89,4,6,68,32,37,53,43,Academic
Susan Kelly,10,2,1,4,4,4,3,62,74,43,5,48,19,4,21,13,46,30,96,65,Academic
Anne Cates,12,0,4,1,4,0,0,20,67,38,38,12,27,4,4,12,2,53,94,5,Academic
Casey Tusing,12,1,4,2,5,1,5,70,28,0,71,44,83,5,14,51,76,88,37,90,Academic
Daniel Tanner,8,4,5,0,0,0,2,39,75,9,79,6,33,0,65,53,21,42,59,11,
Karen Mason,9,1,4,5,1,2,3,35,43,81,21,40,49,1,25,10,56,17,22,70,Academic
Ronald Mulligan,11,4,3,2,2,1,3,18,26,44,32,11,34,2,65,16,4,3,54,61,Academic
Terry Nemec,8,3,2,5,0,4,3,83,31,74,56,2,93,0,41,92,69,28,6,79,
Marge Gove,8,4,4,1,2,0,4,76,15,0,40,23,97,2,95,24,66,95,51,81,
Robert Napier,10,5,4,1,5,0,4,66,19,97,3,3,65,5,21,34,32,94,76,66,Academic
Jody Floyd,8,4,1,1,0,1,1,83,60,53,96,13,15,0,11,39,39,72,33,84,
Elijah Holt,8,2,1,2,3,3,5,44,23,71,54,36,14,3,84,96,87,55,73,70,
Ester Price,8,2,2,2,5,3,0,85,34,18,89,34,75,5,24,48,43,67,58,58,
Lisa Innocent,12,4,4,1,0,4,2,30,26,43,8,24,88,0,18,60,6,99,49,33,Academic
Regina Barnes,8,5,4,5,2,1,2,4,21,95,83,88,22,2,31,68,28,51,86,76,
Orval Elrick,11,0,5,2,5,3,1,65,79,55,45,24,41,5,68,58,22,28,87,16,Academic
Orville Walker,9,5,2,2,3,2,4,27,87,83,46,76,21,3,57,36,94,43,1,10,Academic
Roger Martinez,11,3,3,5,2,3,3,26,39,3,65,38,8,2,9,83,85,24,46,82,Academic
Leopoldo Edwards,12,2,2,4,0,2,1,26,25,92,82,18,2,0,60,84,25,96,95,21,Academic
Heather Wilder,12,1,0,0,4,4,3,39,72,17,19,99,72,4,99,40,13,98,56,67,Academic
Robert Smith,9,5,2,3,2,3,5,50,40,19,28,45,0,2,40,97,72,44,59,15,Academic
Steven Cruz,9,3,0,3,3,1,3,19,96,39,46,49,22,3,74,89,97,32,9,42,Academic
Jay Curry,8,3,5,2,3,4,1,27,61,54,67,18,70,3,79,0,14,27,3,34,
Lydia Schooler,12,1,4,3,2,5,4,4,93,24,92,68,26,2,97,89,31,34,90,85,Academic
Rebecca Battle,12,1,2,0,0,2,4,53,5,99,74,76,52,0,99,74,41,98,16,90,Academic
Courtney Kryst,12,0,1,5,2,3,4,20,98,14,42,63,9,2,33,22,63,67,86,19,Academic
Jamar Elliott,11,2,5,2,4,4,1,40,43,50,21,96,77,4,47,16,9,86,84,89,Academic
Cherly Barclay,11,1,0,1,5,3,1,66,78,19,88,28,78,5,21,2,61,9,54,59,Academic
Lucy Madeira,10,1,5,0,1,3,1,11,35,50,24,96,5,1,27,10,14,45,69,86,Academic
Xavier Mcadams,9,1,3,4,1,2,2,75,49,82,43,87,95,1,60,40,66,22,74,72,Academic
Blanche Ye,11,3,5,3,3,5,3,70,79,1,0,55,77,3,59,51,17,92,82,17,Academic
Michael Bolender,8,4,2,2,1,5,0,64,29,45,72,74,4,1,32,26,16,95,92,42,
Jessica Ullman,10,3,3,0,2,4,0,76,33,35,7,21,80,2,87,34,53,44,84,51,Academic
Charles Brion,8,1,2,5,0,3,2,23,92,90,95,29,6,0,7,43,82,70,42,6,
Priscilla Murphy,12,2,2,3,5,1,4,98,75,86,21,88,56,5,23,88,19,4,28,8,Academic
Stacey Freyermuth,11,5,1,5,3,1,2,86,6,67,59,32,45,3,97,77,64,84,22,7,Academic
Rose Farmer,9,3,0,4,4,5,4,4,82,32,28,72,83,4,17,56,48,18,60,5,Academic
James Good,8,0,3,1,0,0,5,1,88,25,16,63,54,0,91,43,42,7,11,5,
Andre Franck,10,5,4,3,0,3,2,37,88,87,13,76,65,0,35,62,19,48,9,25,Academic
Nydia Perry,10,1,4,3,1,3,3,11,57,81,52,52,21,1,18,54,68,29,3,85,Academic
John Clark,11,4,3,1,2,5,4,25,50,93,63,80,82,2,22,47,7,60,95,86,Academic
Doris Alcorn,9,4,4,1,1,4,4,8,4,25,17,51,88,1,0,9,76,65,63,65,Academic
Ronald Watts,8,0,5,0,5,2,1,25,46,76,36,40,57,5,71,93,53,28,65,99,
Chris Howell,8,1,5,5,5,2,5,50,52,90,42,13,12,5,86,18,45,2,29,13,
John Jones,12,5,1,0,2,3,1,88,54,97,23,9,41,2,74,39,94,70,40,84,Academic
Roderick Hansen,10,0,2,2,4,0,3,12,83,4,44,90,31,4,2,12,11,63,10,15,Academic
James Smith,10,4,5,4,1,0,0,65,93,38,79,63,24,1,31,3,95,24,54,11,Academic
Jason Stcharles,8,1,4,1,5,2,0,64,77,6,52,79,40,5,13,42,59,79,25,9,
James Fletcher,11,5,3,4,2,4,3,54,36,44,52,28,49,2,35,15,4,37,28,15,Academic
Irene Skiba,11,2,4,0,3,0,0,58,20,87,9,31,77,3,18,17,54,59,75,82,Academic
Barbara Stone,12,0,0,2,5,2,2,32,5,61,85,61,56,5,71,71,67,41,58,34,Academic
Lyle Shumate,11,5,3,3,1,2,2,27,57,96,19,15,50,1,21,78,63,73,37,85,Academic
Andrew Murakami,12,4,3,0,4,0,0,48,47,82,83,40,81,4,57,60,23,73,10,93,Academic
Scott Davis,10,3,3,1,2,0,5,60,46,68,28,50,36,2,34,14,8,55,17,50,Academic
Joe Lynch,8,5,3,1,0,1,1,25,29,72,16,85,70,0,95,51,89,52,26,14,
Kendal Johnson,11,5,1,5,2,3,0,49,63,0,1,50,41,2,71,77,26,47,0,59,Academic
Jake Vest,9,5,5,5,4,1,5,67,81,81,4,24,72,4,36,7,37,33,71,72,Academic
Grace Strachan,9,4,2,3,1,1,1,64,89,38,14,69,3,1,53,0,87,13,17,2,Academic
Ruth Gracia,9,3,2,0,3,4,1,47,1,84,78,36,1,3,34,41,72,20,21,54,Academic
Patty Ruffin,8,4,2,3,1,1,4,94,4,50,44,45,71,1,46,52,11,67,87,43,
Gerald Foret,8,3,1,0,5,0,4,72,61,58,84,40,1,5,94,42,83,33,20,4,
Michelle Tessier,11,0,0,0,0,3,5,89,45,43,12,71,23,0,27,19,87,81,46,4,Academic
James Freeman,11,2,2,5,2,4,5,63,21,30,89,15,2,2,91,48,33,29,75,34,Academic
Odette Rios,10,4,4,3,3,0,5,40,24,97,28,48,49,3,39,63,42,78,0,60,Academic
Debra Langdon,9,0,1,3,3,4,5,52,49,35,2,39,29,3,6,20,34,9,4,32,Academic
Jodi Acosta,11,0,1,0,0,3,3,55,15,58,61,8,26,0,27,9,41,84,63,60,Academic
Ronald Gumina,8,5,2,2,1,5,0,89,21,56,60,32,83,1,94,66,30,90,16,72,
Jody Viars,8,4,0,0,2,2,0,9,64,33,78,3,25,2,25,30,89,51,9,69,
Joe Smith,8,5,3,0,1,4,3,88,53,22,1,32,58,1,43,64,99,60,99,80,
Michael Pogue,12,3,4,1,0,5,4,73,73,16,61,66,0,0,57,25,32,43,71,21,Academic
Cathleen Bass,9,4,3,5,0,4,4,67,1,97,14,15,79,0,23,21,82,60,28,78,Academic
Pamela Ricks,9,4,1,2,4,1,1,73,57,26,84,9,95,4,1,95,67,47,24,16,Academic
Maria Brown,12,4,4,4,4,5,0,87,18,36,89,65,45,4,30,22,80,53,33,53,Academic
Erica Yarborough,11,2,3,1,3,2,5,92,74,37,4,71,8,3,10,87,37,48,55,44,Academic
Gladys Stiles,12,1,1,4,0,4,2,63,52,68,82,66,42,0,35,6,3,11,33,23,Academic
Sheila Williamson,10,2,3,1,3,1,3,36,14,79,28,47,81,3,72,45,14,83,94,54,Academic
Annie Bowmer,8,0,5,3,5,3,5,64,73,57,87,97,8,5,61,67,7,50,41,87,
Patrick Joseph,10,2,4,0,4,3,5,61,9,14,30,40,71,4,73,7,89,28,16,6,Academic
William Abney,11,0,5,0,0,5,4,55,13,18,66,35,97,0,76,13,3,70,4,48,Academic
Theresa Beaver,12,1,5,5,4,2,2,86,18,74,40,67,99,4,74,96,78,7,36,37,Academic
Vanessa Flores,9,0,1,4,5,4,3,11,33,98,64,65,52,5,20,77,74,22,90,85,Academic
Eric Bautista,9,1,5,4,5,1,1,91,91,94,14,90,88,5,12,87,74,6,60,72,Academic
Michael Jude,10,4,4,2,4,1,0,59,56,75,82,97,7,4,89,68,61,83,19,20,Academic
Tessie Wright,8,3,3,3,5,4,2,44,24,58,98,6,21,5,91,57,69,22,31,29,
Kevin Hysell,11,5,0,2,1,0,4,95,4,20,5,44,73,1,22,28,33,70,17,89,Academic
Donna Howorth,11,5,1,5,0,0,1,1,81,57,69,99,80,0,73,60,88,0,85,57,Academic
Laura Shultz,10,0,5,0,0,4,3,34,74,13,4,48,14,0,35,98,49,25,99,0,Academic
Brent Collier,8,4,3,0,5,2,4,69,65,11,73,29,82,5,78,55,44,83,86,85,
Alonzo Mccall,10,3,4,2,1,5,4,10,68,12,85,92,48,1,92,28,11,52,64,48,Academic
Sanda Youd,11,5,1,1,3,1,1,64,52,77,37,6,55,3,78,78,46,2,20,97,Academic
Jaimie Douglas,12,1,1,3,5,1,2,22,77,35,16,10,63,5,37,66,47,78,4,87,Academic
Janet Mcgee,8,4,3,4,4,0,1,39,72,69,23,95,94,4,4,43,69,37,93,1,
Melissa Rowland,12,0,0,2,4,2,5,6,97,23,35,25,5,4,60,95,0,55,98,31,Academic
Clora Labelle,12,3,3,5,3,0,0,61,99,35,62,15,47,3,49,77,63,82,22,41,Academic
Nichole Stanley,12,5,0,3,3,1,3,50,77,58,30,77,51,3,28,59,57,56,28,19,Academic
Michael Winsley,12,1,2,0,3,5,1,49,32,41,66,2,75,3,42,14,12,12,34,16,Academic
Deborah Davis,9,3,5,5,4,3,1,54,64,86,19,22,17,4,51,90,85,52,88,42,Academic
Troy Haig,8,4,1,0,4,1,3,35,43,79,87,31,66,4,90,8,21,64,37,45,
Lottie Hadley,12,2,1,5,0,1,2,24,55,2,93,16,94,0,8,48,77,35,34,21,Academic
Tiffany Yang,12,2,3,1,5,0,0,56,97,49,41,71,80,5,93,81,1,83,49,44,Academic
Keith Trevino,9,2,2,2,0,2,5,24,95,78,57,55,70,0,95,32,92,6,84,71,Academic
Beverly Miyoshi,9,5,4,4,0,5,1,29,25,0,13,59,71,0,28,0,2,56,22,3,Academic
Carol Davis,12,5,4,3,1,3,5,36,18,35,14,98,88,1,1,91,27,79,54,39,Academic
Rita Robinson,11,3,4,5,3,4,1,5,4,61,28,6,19,3,75,94,92,50,85,95,Academic
Virginia Harding,12,5,1,3,3,2,2,47,85,61,53,15,63,3,80,73,83,27,82,98,Academic
Sammie Bridges,10,2,5,1,1,5,5,12,75,86,83,6,91,1,48,80,51,98,89,87,Academic
James Chance,10,5,2,0,5,3,2,25,81,73,97,14,9,5,70,83,62,62,90,39,Academic
Jennifer Vargas,12,0,1,1,2,0,4,1,11,15,35,89,92,2,92,36,56,53,34,95,Academic
Janet Guerrero,12,0,2,4,3,1,5,11,3,38,3,30,75,3,67,2,91,12,35,93,Academic
Lloyd Peterson,8,3,0,3,1,4,2,58,43,85,6,66,21,1,95,63,66,83,10,1,
Philip Cox,8,3,5,0,2,0,0,32,66,79,52,93,19,2,47,89,91,62,7,75,
Martha Kenon,9,1,1,1,3,2,2,3,17,40,7,5,22,3,8,64,77,78,83,33,Academic
Sarah Donaldson,12,0,4,4,5,4,4,63,61,68,19,12,45,5,75,25,0,11,83,60,Academic
Raymond Kutner,9,0,5,2,2,0,1,77,55,45,88,30,61,2,83,19,61,79,54,94,Academic
June Ballard,10,5,2,3,3,1,1,20,86,11,13,56,9,3,35,7,55,48,57,19,Academic
Lloyd Williamson,11,5,1,1,1,4,0,3,35,29,84,1,48,1,34,65,94,71,27,64,Academic
Stephen Swanson,12,2,1,0,5,3,0,73,26,63,36,48,38,5,16,90,46,97,15,41,Academic
Oliver Sullivan,11,4,0,3,2,4,0,61,52,11,76,77,33,2,2,8,91,51,12,59,Academic
Joyce Thomas,8,1,1,1,0,0,3,70,18,18,1,65,26,0,49,85,39,27,92,65,
Norman Merlino,12,4,3,0,1,0,1,67,87,34,75,92,17,1,21,90,27,52,52,7,Academic
Larry Pendergrass,11,3,3,3,3,3,4,70,83,59,6,33,91,3,6,78,30,2,55,60,Academic
Hyun Cote,11,0,3,3,1,5,2,97,2,25,30,5,40,1,26,85,34,10,73,80,Academic
Kyle Dunkin,8,5,1,1,0,3,5,62,31,24,42,41,90,0,2,75,11,79,53,99,
Elayne Maxwell,9,5,0,3,4,3,0,72,62,74,1,73,18,4,9,86,82,14,40,6,Academic
Drew Diaz,9,5,2,2,5,1,4,88,63,90,24,5,69,5,54,53,64,14,33,11,Academic
Dorothy Travis,10,5,1,4,3,3,1,54,79,58,51,96,31,3,69,35,72,42,8,65,Academic
Georgia Gordon,11,2,5,2,4,4,4,34,55,77,25,63,13,4,15,55,46,50,20,40,Academic
Diane Wagner,11,5,4,5,2,3,5,29,43,99,97,66,70,2,25,11,30,10,44,66,Academic
Stephen Burns,11,2,2,3,2,1,5,65,94,7,27,85,64,2,21,43,86,15,58,59,Academic
Wesley Shelby,12,3,4,4,3,2,5,12,30,12,91,78,13,3,80,37,83,71,71,95,Academic
Christopher Simmons,9,4,0,0,4,1,3,8,83,42,68,16,82,4,46,69,10,93,39,64,Academic
Jeanne Kliment,12,0,5,0,4,5,0,8,92,92,87,6,39,4,27,7,71,13,93,94,Academic
Jeremiah Simms,11,5,3,1,3,1,3,25,36,36,32,96,53,3,43,90,13,16,61,41,Academic
Jacqueline Leyva,12,4,2,5,5,0,1,48,51,4,86,69,18,5,75,53,33,33,73,9,Academic
Kimberly Sandoval,10,5,4,2,4,0,2,79,40,44,88,71,30,4,37,71,18,89,45,37,Academic
Irene Mcdermott,11,1,2,0,2,3,0,54,53,78,28,78,47,2,58,59,29,51,82,63,Academic
Richard Cox,11,5,0,0,1,2,5,39,61,55,18,51,31,1,45,83,33,96,73,88,Academic
Timothy Howard,8,5,0,4,5,0,3,35,29,97,82,36,24,5,19,24,63,87,3,58,
Frieda Allen,11,4,2,3,5,1,1,67,66,39,8,93,94,5,58,53,76,36,14,19,Academic
David Cooper,10,0,3,0,3,0,0,50,39,72,34,51,50,3,72,1,92,25,59,98,Academic
Mary Barnett,8,2,3,0,0,2,3,46,9,89,31,6,4,0,45,36,74,12,9,16,
Jack Kline,11,5,1,3,2,2,5,69,18,73,56,42,48,2,38,68,69,60,43,9,Academic
James Dudley,10,1,1,0,2,1,5,4,61,23,93,93,93,2,77,57,50,76,61,52,Academic
David Rodriguez,9,5,1,3,0,3,5,86,89,46,87,8,27,0,49,93,65,90,62,19,Academic
Diana Mcquay,11,5,3,1,1,5,2,18,73,94,60,83,43,1,30,31,0,66,12,56,Academic
Lizzie Ogan,11,2,5,0,2,3,3,9,97,51,55,14,71,2,58,12,63,39,22,43,Academic
Albert Lopez,10,2,4,2,5,1,5,45,96,33,63,38,26,5,45,92,32,46,95,55,Academic
Martha Bruce,10,1,0,0,4,2,5,1,83,66,92,37,6,4,45,3,2,46,83,15,Academic
Dan Hupp,9,3,4,4,0,0,5,72,78,93,54,26,66,0,12,4,30,51,14,60,Academic
Steven Vargas,11,4,1,3,4,1,4,81,18,20,87,12,67,4,94,61,31,66,29,46,Academic
Elizabeth Viray,8,3,1,1,2,2,0,26,53,79,84,83,89,2,34,66,11,52,91,82,
James Artis,10,3,1,2,3,5,3,67,15,17,48,75,15,3,17,42,68,31,52,70,Academic
Juan Cassity,8,2,0,4,1,4,1,69,19,88,54,98,37,1,7,84,69,59,12,74,
Mark Beehler,9,2,4,1,0,0,4,54,5,60,66,16,66,0,56,35,40,18,2,79,Academic
Tricia Wagner,11,4,0,0,4,3,1,90,15,52,3,30,15,4,47,53,12,7,80,98,Academic
Gene Kranz,8,2,0,2,4,2,3,3,83,54,95,0,59,4,10,33,42,81,16,69,
Norman Diaz,9,2,2,2,1,5,0,58,45,91,34,21,20,1,96,26,56,36,48,28,Academic
Dennis Birks,12,5,2,5,2,3,5,28,37,28,73,20,21,2,50,69,44,19,13,54,Academic
